№ п.п,Задание1,Задание 2,Задание3,Задание 4,Задание5,Задание6,Задание7
1,"1.1, 2.1, 3.1, 4.1","1.1, 2.1, 3.1, 4.1","1.1, 2.1, 3.1, 4.1, 5.1, 6.1, 7.1","1.1, 2.1, 3.1, 4",,"1, 2.1, 3.1, 4.1",1
2,"1.2, 2.2, 3.2, 4.2","1.2, 2.2, 3.2, 4.2","1.2, 2.2, 3.2, 4.2, 5.2, 6.2, 7.2","1.2, 2.2, 3.2, 4",,"1, 2.2, 3.2, 4.2",2
3,"1.3, 2.3, 3.3, 4.3","1.3, 2.3, 3.3, 4.3","1.3, 2.3, 3.3, 4.3, 5.3, 6.3, 7.3","1.3, 2.3, 3.3, 4",,"1, 2.3, 3.3, 4.3",1
4,"1.4, 2.4, 3.4, 4.4","1.4, 2.4, 3.4, 4.4","1.4, 2.4, 3.4, 4.4, 5.1, 6.1, 7.1","1.4, 2.4, 3.4, 4",,"1, 2.4, 3.4, 4.4",2
5,"1.1, 2.1, 3.1, 4.1","1.1, 2.1, 3.1, 4.1","1.1, 2.1, 3.1, 4.1, 5.3, 6.3, 7.3","1.1, 2.1, 3.1, 4",,"1, 2.1, 3.1, 4.1",1
6,"1.2, 2.2, 3.2, 4.2","1.2, 2.2, 3.2, 4.2","1.2, 2.2, 3.2, 4.2, 5.2, 6.2, 7.2","1.2, 2.2, 3.2, 4",,"1, 2.2, 3.2, 4.2",2
7,"1.3, 2.3, 3.3, 4.3","1.3, 2.3, 3.3, 4.3","1.3, 2.3, 3.3, 4.35.4, 6.4, 7.4","1.3, 2.3, 3.3, 4",,"1, 2.3, 3.3, 4.3",1
8,"1.4, 2.4, 3.4, 4.4","1.4, 2.4, 3.4, 4.4","1.4, 2.4, 3.4, 4.4, 5.1, 6.1, 7.1","1.4, 2.4, 3.4, 4",,"1, 2.4, 3.4, 4.4",2
9,"1.1, 2.1, 3.1, 4.1","1.1, 2.1, 3.1, 4.1","1.1, 2.1, 3.1, 4.15.4, 6.4, 7.4","1.1, 2.1, 3.1, 4",,"1, 2.1, 3.1, 4.1",1
10,"1.2, 2.2, 3.2, 4.2","1.2, 2.2, 3.2, 4.2","1.2, 2.2, 3.2, 4.2, 5.2, 6.2, 7.2","1.2, 2.2, 3.2, 4",,"1, 2.2, 3.2, 4.2",2
11,"1.3, 2.3, 3.3, 4.3","1.3, 2.3, 3.3, 4.3","1.3, 2.3, 3.3, 4.3, 5.1, 6.1, 7.1","1.3, 2.3, 3.3, 4",,"1, 2.3, 3.3, 4.3",1
12,"1.4, 2.4, 3.4, 4.4","1.4, 2.4, 3.4, 4.4","1.4, 2.4, 3.4, 4.4, 5.3, 6.3, 7.3","1.4, 2.4, 3.4, 4",,"1, 2.4, 3.4, 4.4",2
13,"1.1, 2.1, 3.1, 4.1","1.1, 2.1, 3.1, 4.1","1.1, 2.1, 3.1, 4.1, 5.1, 6.1, 7.1","1.1, 2.1, 3.1, 4",,"1, 2.1, 3.1, 4.1",1
14,"1.3, 2.3, 3.3, 4.3","1.3, 2.3, 3.3, 4.3","1.3, 2.3, 3.3, 4.3, 5.1, 6.1, 7.1","1.3, 2.3, 3.3, 4",,"1, 2.3, 3.3, 4.3",1
